FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED
intern.rs,39.708,0.567,70.969,16.311,false
resolver.rs,188.701,0.826,279.842,57.150,false
find_path.rs,166.746,1.586,123.026,5.870,false
generics.rs,84.250,0.733,115.538,15.817,false
body.rs,47.399,0.668,71.419,12.397,false
item_tree.rs,67.297,0.420,198.003,69.795,false
type_ref.rs,83.029,0.818,132.219,36.878,false
lib.rs,96.488,0.440,316.803,108.513,false
lang_item.rs,25.890,0.575,81.904,47.368,false
per_ns.rs,27.203,0.824,33.112,6.188,false
import_map.rs,197.759,1.321,155.250,13.540,false
dyn_map.rs,7.632,0.263,95.201,49.714,false
adt.rs,50.694,0.676,81.723,31.837,false
test_db.rs,48.462,0.692,71.342,18.182,false
keys.rs,2.074,0.259,8.000,0.320,false
db.rs,1.483,0.297,5.000,0.200,false
nameres.rs,52.624,0.763,69.024,4.742,false
builtin_derive_macro.rs,11.721,1.953,6.000,0.240,false
mbe.rs,174.076,2.854,61.000,2.440,false
meta_syntax.rs,20.308,5.077,4.000,0.160,false
tt_conversion.rs,18.760,2.680,7.000,0.280,false
regression.rs,115.862,6.815,17.000,0.680,false
matching.rs,17.379,2.172,8.000,0.320,false
proc_macros.rs,11.389,2.278,5.000,0.200,false
builtin_fn_macro.rs,47.469,2.792,17.000,0.680,false
lower.rs,45.209,1.215,55.020,4.125,false
tests.rs,106.692,2.808,38.000,1.520,false
attr_resolution.rs,10.500,0.750,14.021,2.667,false
path_resolution.rs,57.790,1.043,81.857,21.185,false
mod_resolution.rs,25.054,0.783,32.001,1.255,false
primitives.rs,4.667,2.333,2.000,0.080,false
incremental.rs,50.485,1.530,33.000,0.641,false
globs.rs,42.065,3.505,12.000,0.480,false
macros.rs,148.738,3.814,39.000,0.282,false
mod_resolution.rs,102.427,3.104,33.000,1.320,false
diagnostics.rs,8.556,0.713,12.002,1.215,false
collector.rs,276.525,1.135,318.359,54.942,false
proc_macro.rs,11.838,0.515,24.658,13.463,false
trace.rs,4.364,0.485,11.283,10.957,false
builtin_attr.rs,0.000,0.000,110.000,40.000,false
tests.rs,52.315,4.360,12.000,0.480,false
pretty.rs,137.818,1.107,279.909,103.785,false
lower.rs,208.422,1.121,226.021,6.756,false
macro_expansion_tests.rs,83.136,1.466,102.076,19.087,false
data.rs,61.681,0.752,82.336,12.079,false
tests.rs,16.200,1.473,11.000,0.440,false
scope.rs,88.931,1.186,75.003,2.553,false
lower.rs,195.931,1.130,245.941,31.178,false
block.rs,45.982,3.284,14.000,0.560,false
visibility.rs,35.239,0.665,59.452,27.972,false
expr.rs,18.913,0.554,63.478,27.294,false
builtin_type.rs,17.386,0.424,91.641,51.000,false
path.rs,23.000,0.561,45.631,22.991,false
lib.rs,35.118,0.616,145.670,68.645,false
memory_usage.rs,0.000,0.000,812.000,112.000,false
hprof.rs,6.719,0.099,3044.020,234.842,false
lib.rs,0.237,0.013,324.004,70.642,false
tree.rs,0.000,0.000,420.000,80.000,false
stop_watch.rs,0.000,0.000,650.000,100.000,false
lib.rs,4.250,0.386,18.337,17.286,false
manifest_path.rs,5.688,0.438,13.050,3.467,false
tests.rs,316.418,11.719,27.000,1.080,false
build_scripts.rs,1.128,0.026,1819.864,171.007,false
lib.rs,14.385,0.369,197.508,73.412,false
project_json.rs,9.679,0.358,47.659,32.927,false
sysroot.rs,27.055,0.530,163.233,71.552,false
rustc_cfg.rs,8.755,0.673,15.126,12.093,false
cfg_flag.rs,11.111,0.444,37.678,27.273,false
cargo_workspace.rs,40.295,0.458,415.251,122.607,false
workspace.rs,112.157,0.786,1488.618,248.596,false
lib.rs,60.685,0.537,194.365,83.798,false
buffer.rs,35.955,0.642,58.189,19.871,false
tests.rs,29.957,0.936,32.000,1.280,false
lib.rs,4.387,0.366,32.379,25.014,false
render.rs,289.946,2.089,147.002,2.585,false
item.rs,83.940,0.837,110.955,23.890,false
patterns.rs,52.449,0.963,72.158,9.000,false
context.rs,178.738,0.951,204.254,25.351,false
completions.rs,51.393,0.714,77.814,29.922,false
snippet.rs,20.187,0.748,27.079,5.143,false
config.rs,3.385,0.423,8.000,0.320,false
pattern.rs,42.935,2.260,19.000,0.760,false
type_pos.rs,24.250,3.031,8.000,0.320,false
item_list.rs,32.158,2.474,13.000,0.520,false
attribute.rs,118.067,2.315,51.000,2.040,false
item.rs,21.571,2.397,9.000,0.360,false
flyimport.rs,103.133,3.033,34.000,1.360,false
predicate.rs,18.667,2.333,8.000,0.320,false
proc_macros.rs,19.579,3.263,6.000,0.240,false
expression.rs,65.902,4.393,15.000,0.600,false
visibility.rs,9.286,1.857,5.000,0.200,false
record.rs,27.059,2.706,10.000,0.400,false
