FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED
add_lifetime_to_type.rs,41.538,0.923,45.049,5.202,false
move_guard.rs,128.195,2.173,59.000,1.192,false
add_turbo_fish.rs,63.176,1.767,41.003,1.984,false
replace_if_let_with_match.rs,209.513,1.806,116.038,6.586,false
merge_match_arms.rs,42.219,2.010,21.000,0.433,false
move_module_to_file.rs,40.701,1.507,27.000,0.532,false
generate_default_from_enum_variant.rs,25.524,1.595,16.000,0.640,false
add_missing_impl_members.rs,123.965,2.431,51.000,0.494,false
fix_visibility.rs,98.323,1.364,77.098,7.836,false
toggle_ignore.rs,16.828,1.052,16.000,0.640,false
qualify_method_call.rs,77.815,3.113,25.000,1.000,false
wrap_return_type_in_result.rs,144.409,2.777,52.003,2.066,false
convert_to_guarded_return.rs,101.836,2.039,55.003,2.296,false
introduce_named_generic.rs,17.031,1.135,15.000,0.600,false
move_from_mod_rs.rs,13.950,1.163,12.000,0.480,false
extract_struct_from_enum_variant.rs,147.358,1.488,99.004,3.046,false
unmerge_use.rs,32.933,1.267,26.000,1.040,false
convert_iter_for_each_to_for.rs,116.908,1.719,68.011,3.603,false
sort_items.rs,88.057,1.572,56.002,1.996,false
unwrap_block.rs,118.000,2.542,48.000,0.295,false
inline_local_variable.rs,143.949,1.714,84.000,1.252,false
remove_unused_param.rs,77.538,1.385,56.003,2.175,false
raw_string.rs,79.075,1.438,55.000,1.084,false
convert_bool_then.rs,120.628,1.311,92.208,10.702,false
convert_while_to_loop.rs,23.054,1.441,16.000,0.640,false
generate_setter.rs,28.915,1.606,18.000,0.720,false
replace_derive_with_manual_impl.rs,180.484,2.123,85.011,3.905,false
number_representation.rs,26.331,0.940,28.000,1.120,false
remove_dbg.rs,40.089,1.311,41.002,1.843,false
convert_integer_literal.rs,30.231,1.042,29.000,1.160,false
introduce_named_lifetime.rs,58.839,0.965,61.000,0.992,false
generate_derive.rs,19.211,1.011,19.000,0.760,false
convert_tuple_struct_to_named_struct.rs,132.641,2.369,56.000,0.605,false
add_explicit_type.rs,54.118,1.635,39.000,1.560,false
extract_function.rs,909.995,1.712,555.017,56.104,false
invert_if.rs,21.991,0.880,25.005,2.062,false
expand_glob_import.rs,206.068,2.642,78.009,3.550,false
destructure_tuple_binding.rs,332.717,2.210,155.000,1.624,false
generate_default_from_new.rs,104.216,2.542,41.000,0.284,false
extract_variable.rs,162.080,1.858,93.006,3.284,false
generate_delegate_methods.rs,59.138,1.556,38.109,6.431,false
generate_new.rs,47.873,2.176,22.000,0.284,false
replace_qualified_name_with_use.rs,69.898,1.398,50.025,4.286,false
split_import.rs,15.807,0.930,17.000,0.680,false
remove_mut.rs,5.526,0.789,7.012,1.750,false
replace_turbofish_with_explicit_type.rs,40.884,1.703,31.004,2.011,false
merge_imports.rs,47.929,1.452,33.000,1.320,false
move_to_mod_rs.rs,16.693,1.284,13.000,0.520,false
reorder_impl.rs,45.000,1.500,30.002,1.548,false
flip_trait_bound.rs,14.758,0.868,17.000,0.680,false
apply_demorgan.rs,40.937,0.975,42.145,7.304,false
convert_comment_block.rs,64.071,1.643,39.000,1.560,false
pull_assignment_up.rs,111.108,1.658,67.087,7.208,false
utils.rs,171.371,0.865,212.782,28.869,false
assist_context.rs,47.687,0.782,61.000,2.440,false
sourcegen.rs,32.268,1.113,29.005,2.161,false
generated.rs,255.279,2.605,98.000,3.920,false
tests.rs,24.205,0.835,29.018,3.193,false
parser.rs,43.784,1.563,54.058,5.838,false
shortcuts.rs,41.168,0.735,56.010,3.246,false
attributes.rs,14.302,0.953,15.003,1.429,false
generic_args.rs,30.099,0.912,33.000,1.320,false
paths.rs,16.832,1.683,20.016,2.727,false
types.rs,56.425,0.996,61.003,2.179,false
