FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
expr.rs,98.645,0.987,119.242,12.268,false,true,crates/hir_ty/src/diagnostics/expr.rs
expr_ext.rs,75.302,0.641,281.824,108.272,false,true,crates/syntax/src/ast/expr_ext.rs
expression.rs,65.902,4.393,15.000,0.600,false,true,crates/ide_completion/src/tests/expression.rs
expressions.rs,116.406,1.617,114.073,8.102,false,true,crates/parser/src/grammar/expressions.rs
extend_selection.rs,129.844,1.333,116.135,10.014,false,true,crates/ide/src/extend_selection.rs
extern_abi.rs,6.145,0.614,10.000,0.400,false,false,crates/ide_completion/src/completions/extern_abi.rs
extract_function.rs,964.733,1.763,568.912,47.251,false,true,crates/ide_assists/src/handlers/extract_function.rs
extract_module.rs,248.461,1.406,238.373,84.213,false,true,crates/ide_assists/src/handlers/extract_module.rs
extract_struct_from_enum_variant.rs,147.358,1.488,99.004,3.046,false,true,crates/ide_assists/src/handlers/extract_struct_from_enum_variant.rs
extract_type_alias.rs,77.415,1.210,65.632,18.836,false,true,crates/ide_assists/src/handlers/extract_type_alias.rs
extract_variable.rs,240.152,2.279,113.002,2.409,false,true,crates/ide_assists/src/handlers/extract_variable.rs
famous_defs.rs,43.398,0.789,57.212,19.820,false,true,crates/ide_db/src/helpers/famous_defs.rs
field_shorthand.rs,27.360,1.368,20.001,0.925,false,false,crates/ide_diagnostics/src/handlers/field_shorthand.rs
file_set.rs,27.036,0.659,41.613,11.714,false,true,crates/vfs/src/file_set.rs
file_structure.rs,84.825,2.651,32.000,0.509,false,true,crates/ide/src/file_structure.rs
find_path.rs,166.746,1.586,123.026,5.870,false,true,crates/hir_def/src/find_path.rs
fix_visibility.rs,98.718,1.369,77.059,6.630,false,true,crates/ide_assists/src/handlers/fix_visibility.rs
fixture.rs,49.664,1.150,112.947,57.356,false,true,crates/test_utils/src/fixture.rs
fixture.rs,10.690,0.972,11.000,0.440,false,false,crates/ide/src/fixture.rs
fixture.rs,63.204,1.313,70.046,5.895,false,true,crates/base_db/src/fixture.rs
fixup.rs,30.528,0.985,31.008,2.505,false,false,crates/hir_expand/src/fixup.rs
flags.rs,0.000,0.000,210.000,56.000,false,true,xtask/src/flags.rs
flags.rs,0.000,0.000,156.000,48.000,false,true,crates/rust-analyzer/src/cli/flags.rs
flat.rs,38.519,0.664,58.400,11.410,false,true,crates/proc_macro_api/src/msg/flat.rs
