FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
"main (4, 21)",0.000,0.000,6.000,8.000,false,false,"/main (4,21)"
"hello_action (23, 51)",0.000,0.000,272.000,64.000,false,true,"/hello_action (23,51)"
"hello_command (53, 71)",0.000,0.000,2.000,4.000,false,false,"/hello_command (53,71)"
"add_action (73, 76)",0.000,0.000,6.000,8.000,false,false,"/add_action (73,76)"
"add_command (78, 83)",0.000,0.000,2.000,4.000,false,false,"/add_command (78,83)"
"<anonymous> (74, 74)",0.000,0.000,2.000,4.000,false,false,"/add_action (73,76)/<anonymous> (74,74)"
"<anonymous> (11, 11)",0.000,0.000,2.000,4.000,false,false,"/main (4,21)/<anonymous> (11,11)"
single_app.rs,0.000,0.000,20.000,16.000,false,false,examples/single_app.rs
"main (4, 21)",0.000,0.000,2.000,4.000,false,false,"/main (4,21)"
"action (23, 29)",0.000,0.000,6.000,8.000,false,false,"/action (23,29)"
PROJECT,45.563,0.657,1089.333,240.697,false,false,-
AVG,18.482,0.400,120.054,30.401,false,false,-
MAX,79.215,0.792,552.000,92.000,false,false,-
MIN,0.000,0.000,1.000,0.000,false,false,-
PROJECT_COVERAGE,77.210,-,-,-,-,-,-
LIST OF COMPLEX FUNCTIONS,----------,----------,----------,----------,----------,----------,----------
"command_help_text (329, 369)",1.371,0.171,40.768,25.600,false,true,"/App (24,370)/command_help_text (329,369)"
"description (26, 34)",0.000,0.000,42.000,24.000,false,true,"/FlagError (25,35)/description (26,34)"
"fmt (14, 22)",0.000,0.000,42.000,24.000,false,true,"/FlagError (13,23)/fmt (14,22)"
"hello_action (23, 51)",0.000,0.000,272.000,64.000,false,true,"/hello_action (23,51)"
TOTAL COMPLEX FUNCTIONS,4,,,,,,
LIST OF IGNORED FILES,----------,----------,----------,----------,----------,----------,----------
../seahorse/src/action.rs,0.000,0.000,0.000,0.000,true,-,-
TOTAL FILES IGNORED,1,,,,,,
