FILE,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
../serde/test_suite/tests/expand/lifetimes.expanded.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/lifetimes.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/named_map.expanded.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/named_map.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/named_tuple.expanded.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/named_tuple.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/named_unit.expanded.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/named_unit.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/ser_enum.expanded.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/ser_enum.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/void.expanded.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/expand/void.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/borrow/bad_lifetimes.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/borrow/duplicate_lifetime.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/borrow/duplicate_variant.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/borrow/empty_lifetimes.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/borrow/no_lifetimes.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/borrow/struct_variant.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/borrow/wrong_lifetime.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/conflict/adjacent-tag.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/conflict/flatten-newtype-struct.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/conflict/flatten-tuple-struct.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/conflict/from-try-from.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/conflict/internal-tag-alias.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/conflict/internal-tag.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/default-attribute/enum.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/default-attribute/enum_path.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/default-attribute/nameless_struct_fields.rs,0.000,0.000,0.000,0.000,true,-,-
