FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
"deserialize_unit_struct (1697, 1702)",0.000,0.000,0.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_unit_struct (1697,1702)"
"deserialize_newtype_struct (1706, 1719)",0.000,0.000,2.000,4.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_newtype_struct (1706,1719)"
"deserialize_seq (1721, 1751)",3.393,0.679,5.003,1.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_seq (1721,1751)"
"deserialize_tuple (1753, 1758)",0.000,1.000,0.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_tuple (1753,1758)"
"deserialize_tuple_struct (1760, 1770)",0.000,0.000,0.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_tuple_struct (1760,1770)"
"deserialize_map (1772, 1802)",3.214,0.643,5.025,2.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_map (1772,1802)"
"deserialize_struct (1804, 1850)",5.047,0.721,7.001,0.875,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_struct (1804,1850)"
"deserialize_enum (1855, 1884)",1.862,0.621,3.026,1.714,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_enum (1855,1884)"
"deserialize_identifier (1886, 1891)",0.000,1.000,0.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_identifier (1886,1891)"
"deserialize_ignored_any (1893, 1899)",0.000,1.000,0.000,0.000,false,false,"/&'a mut Deserializer<R> (1306,1900)/deserialize_ignored_any (1893,1899)"
"from_str (1220, 1224)",0.000,1.000,0.000,0.000,false,false,"/Number (1217,1225)/from_str (1220,1224)"
"end (139, 144)",0.833,0.833,1.000,0.000,false,false,"/Deserializer<R> (135,1215)/end (139,144)"
"into_iter (147, 161)",0.000,1.154,0.000,0.000,false,false,"/Deserializer<R> (135,1215)/into_iter (147,161)"
